Curve_Ratio,Max_Theta,Max_Distance,Avg_Range_61_64,Avg_Range_66_69,Avg_Range_71_74,Avg_Range_76_79,Avg_Range_81_84,Avg_Range_86_89,Avg_Range_91_94,Avg_Range_96_99,Avg_Range_101_104,Avg_Range_106_109,Avg_Range_111_114,Avg_Range_116_119
25,80,4.26366261146482,0.645147005810904,0.632251813792685,0.618601144130567,0.293382582192792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,95,5.54490589327408,0.622141204753206,0.604382082684935,0.585486975114572,0.569482220091202,0.548768211482215,0.527133029916835,0.236195800663292,NaN,NaN,NaN,NaN,NaN
100,120,6.93056127113872,0.510466581899316,0.488188183633916,0.468657316176282,0.443925965268133,0.422572947177409,0.395769423853972,0.372941551215632,0.344474127281391,0.320538666082146,0.290835464230827,0.268492004533698,0.169888740767213
200,92,6.9128987762877,0.401596547624969,0.313999051793944,0.352096706848014,0.32769648920071,0.247193165048922,0.224607514190416,0.0541747341837064,NaN,NaN,NaN,NaN,NaN
400,76,6.75333087599614,0.306825007985871,0.282599185365109,0.25720103077974,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
